Name,Profile URL,Signal,Joined,Location,Market,Website,Employees,Stage,Total Raised
theMednet,https://angel.co/company/themednet,5,Jun '17,New York City,Healthcare,http://www.themednet.com,1-10,Seed,1300000
Flight Ventures,https://angel.co/company/flight-vc-syndicate,5,Apr '15,San Francisco,SaaS,https://angel.co/flight-ventures,"","",""
Boom,https://angel.co/company/boom,5,Apr '16,Centennial,Aerospace,https://boomsupersonic.com/,51-200,Series B,133000000
MANOR,https://angel.co/company/manor-2,5,May '17,Chicago,B2B,http://manorhomeapp.com,"",Seed,335000
Campuswire,https://angel.co/company/campuswire,5,May '16,San Francisco,Messaging,http://campuswire.com,1-10,"",""
Prefer,https://angel.co/company/prefer-2,5,May '17,San Francisco,Location Based Services,http://prefer.com,11-50,"",""
Hingeto,https://angel.co/company/hingeto,5,Dec '15,Oakland,E-Commerce Platforms,http://hingeto.com,11-50,Seed,1900000
WPP Ventures,https://angel.co/company/wpp-ventures,5,Apr '17,London,Retail Technology,http://www.wppventures.com,"","",""
KF20 Capital,https://angel.co/company/kf20-capital,5,Apr '17,San Francisco,"","","","",""
Overclock Labs,https://angel.co/company/ovrclk,5,Oct '15,San Francisco,Data Center Infrastructure,http://ovrclk.com,1-10,Seed,1310000
Fetch,https://angel.co/company/fetch-21,5,May '17,Atlanta,Technology,http://fetchtruck.com,1-10,Seed,""
Superside,https://angel.co/company/supersidehq,5,Feb '16,Palo Alto,B2B,https://www.superside.com,51-200,Seed,1500000
Hello Scout,https://angel.co/company/helloscout,5,Jul '15,San Francisco,Mobile Commerce,http://helloscout.com,1-10,Acquired,""
Crystal,https://angel.co/company/crystal-project,5,May '15,Nashville,SaaS,https://www.crystalknows.com,1-10,"",""
Razorpay,https://angel.co/company/razorpay,5,Mar '15,Bengaluru,Mobile Payments,https://razorpay.com,51-200,"",11500000
RadioPublic PBC,https://angel.co/company/radiopublic,5,May '16,Boston,Audio,http://www.radiopublic.com,1-10,"",""
Orphidia,https://angel.co/company/orphidia,5,Aug '14,San Francisco,Medical Devices,http://www.orphidia.com,11-50,Seed,1805000
Mucker Capital,https://angel.co/company/mucker-capital,5,Sep '14,Santa Monica,Entrepreneur,http://www.muckercapital.com,"","",""
Civic,https://angel.co/company/civic,5,Dec '15,San Francisco,Identity Management,https://www.civic.com/,11-50,"",35750000
AutoFi,https://angel.co/company/autofi,5,May '15,San Francisco,B2B,http://www.AutoFi.com,11-50,Series A,27000000
Tiller Partners,https://angel.co/company/tiller-partners,5,Feb '16,"","","","","",""
Votion,https://angel.co/company/votion,5,Jan '16,Sausalito,Social Media Marketing,http://votion.co,1-10,"",""
Jude Gomila Demo Day Fund W16,https://angel.co/company/jude-gomila-demo-day-fund-w16,5,Jan '16,"","","","","",""
Propel Venture Partners,https://angel.co/company/propel-vc,5,Feb '16,San Francisco,Technology,http://www.propel.vc,1-10,"",""
SpotAngels,https://angel.co/company/spot-angels,5,Jan '16,San Francisco,Maps,http://www.spotangels.com,11-50,"",""
Roger Dickey Demo Day Fund W16,https://angel.co/company/roger-dickey-demo-day-fund-w16,5,Jan '16,"","","","","",""
Hoodline,https://angel.co/company/hoodline,5,Mar '16,San Francisco,Local Businesses,http://hoodline.com/,1-10,Series A,11575000
P38 Ventures,https://angel.co/company/p38-ventures,5,Feb '16,San Francisco,Mobile Advertising,https://angel.co/p38-ventures,"","",""
Misfit Wearables,https://angel.co/company/misfit-wearables-1,5,Feb '16,"","","","",Series B,55200000
Terminal 49,https://angel.co/company/terminal49,5,Mar '16,San Francisco,Logistics,https://www.terminal49.com/,1-10,"",""
Sunlight,https://angel.co/company/sunlight,5,Oct '16,London,B2B,http://www.sunlight.is,1-10,"",""
Amplitude Analytics,https://angel.co/company/amplitude-analytics,5,Jul '17,"","","","",Seed,2000000
Hyperloop One,https://angel.co/company/hyperloop-technologies,5,Feb '15,"","",https://hyperloop-one.com/,201-500,Series D,241000000
Datawire.io,https://angel.co/company/datawire-io,5,Nov '14,Boston,Developer APIs,https://www.datawire.io,11-50,"",""
ICE,https://angel.co/company/ice,5,Dec '14,London,Entrepreneurs,http://angel.co/ice,51-200,"",""
interviewing.io,https://angel.co/company/interviewingio,5,Jun '15,San Francisco,Software Engineering,http://www.interviewing.io,11-50,"",""
Spruce Health,https://angel.co/company/spruce-health,5,Dec '14,San Francisco,Digital Health,https://www.sprucehealth.com/,11-50,Series A,17000000
Yoshi,https://angel.co/company/startyoshi,5,Sep '16,San Francisco,Business Services,http://www.startyoshi.com,11-50,Series A,15800000
Flutterwave,https://angel.co/company/flutterwave,5,Aug '16,"","",https://www.flutterwave.com,"",Seed,""
KidPass,https://angel.co/company/kidpass,5,Nov '15,New York City,Kids,http://kidpass.com,11-50,"",325000
Daisie,https://angel.co/company/daisie,5,Jul '18,London,Photography,http://www.daisie.com,11-50,"",""
WorldCover,https://angel.co/company/worldcover,5,Mar '15,New York City,Insurance,http://worldcovr.com,11-50,"",""
SpringRole,https://angel.co/company/springrole,5,Feb '15,Santa Monica,Blockchains,http://springrole.com,51-200,Seed,250000
Lully,https://angel.co/company/lully,5,Aug '14,San Francisco,Kids,http://www.lullysleep.com/,1-10,Seed,3020000
Marginize,https://angel.co/company/marginize-1,5,Aug '14,Cambridge,Curated Web,http://www.marginize.com,"","",5734000
KPG Ventures,https://angel.co/company/kpg-ventures,5,Dec '14,San Francisco,"",http://www.kpgventures.com,"","",""
The Shared Web,https://angel.co/company/the-shared-web,5,Aug '14,New York City,Curated Web,http://useframe.com,"","",350000
Potomac Group,https://angel.co/company/potomac-group,5,Aug '14,San Francisco,Consumer,http://To Come,"","",""
Parenthoods,https://angel.co/company/parenthoods,5,Aug '14,San Francisco,Apps,http://parenthoods.co/,1-10,Seed,1320000
Sand Hill East,https://angel.co/company/sand-hill-east,5,Aug '14,New York City,Early-Stage Technology,http://www.sandhilleast.net,1-10,"",""
DrawQuest,https://angel.co/company/drawquest,5,Aug '14,"",Games,http://drawquest.com,"","",3625000
Sochat,https://angel.co/company/sochat,5,Aug '14,San Francisco,"",https://sochat.com,1-10,Seed,2000000
Memry Labs,https://angel.co/company/memry-labs,5,Aug '14,San Francisco,Mobile,"",1-10,Acquired,""
BioAge,https://angel.co/company/bioage,5,Aug '14,"","","","","",""
PersistIQ,https://angel.co/company/persistiq,5,Aug '14,San Mateo,B2B,http://www.persistiq.com,1-10,Seed,1700000
BetterWorks (Closed),https://angel.co/company/betterworks-closed,5,Aug '14,Palo Alto,Employer Benefits Programs,http://www.betterworks.com,"",Series B,30500000
Complex Polygon,https://angel.co/company/complex-polygon,5,Aug '14,San Francisco,"",http://complexpolygon.com,1-10,"",""
Mitoo Sports,https://angel.co/company/mitoo-sports,5,Aug '14,London,iPhone,http://mitoo.co,"",Seed,1227700
Grinda & Marin Fund,https://angel.co/company/grinda-marin-fund,5,Aug '14,New York City,Consumer,http://www.fabricegrinda.com,"","",""
Breeze,https://angel.co/company/breeze,5,Sep '14,San Francisco,"",http://www.joinbreeze.com,51-200,Seed,2500000
FLIP,https://angel.co/company/flip,5,Aug '14,"",Ephemeral ,http://JustFlip.com,1-10,"",""
AngelList Consumer Fund I,https://angel.co/company/consumer-fund,5,Sep '14,San Francisco,Consumer Internet,http://angel.co,"","",""
Bluesmart,https://angel.co/company/bluesmart,5,Jan '15,San Francisco,Consumer Electronics,http://bluesmart.com,11-50,"",1044766
HauteDay,https://angel.co/company/hauteday,5,Aug '14,San Francisco,Mobile Commerce,http://www.HauteDay.com,"","",""
S2 Capital,https://angel.co/company/s2capital,5,Aug '14,San Francisco,Angels,http://s2capital.vc,"","",""
Fresh,https://angel.co/company/fresh-4,5,Sep '14,San Francisco,Developer Tools,http://www.freshvc.com,1-10,"",""
Tapstack,https://angel.co/company/tapstack,5,Aug '15,San Francisco,"",http://tapstack.com,1-10,Seed,5000000
Star.me,https://angel.co/company/star-me,5,Aug '14,Los Angeles,Curated Web,"","","",""
Zen99,https://angel.co/company/zen99,5,Aug '14,San Francisco,"",http://www.tryzen99.com,1-10,Seed,2500000
CoinTent,https://angel.co/company/cointent,5,Sep '14,San Francisco,E-Commerce Platforms,http://cointent.com,1-10,Seed,1195000
Giftcard Zen,https://angel.co/company/giftcard-zen,5,Sep '14,Phoenix,Mobile Commerce,http://www.giftcardzen.com/,11-50,"",22000000
Thrive Agritech,https://angel.co/company/thrive-agritech,5,Sep '15,New York City,Energy Efficiency,http://www.thriveagritech.com,11-50,"",3100000
Palm Drive Capital,https://angel.co/company/palm-drive-capital,5,Mar '16,"","",http://palmdrivecap.com,1-10,"",""
AngelList Enterprise Fund I,https://angel.co/company/enterprise-fund,5,Sep '14,San Francisco,Enterprise Software,http://angel.co,"","",""
Dragoneer Investment Group,https://angel.co/company/dragoneer-investment-group,5,Aug '14,San Francisco,"","","","",""
NAVITAS CAPITAL,https://angel.co/company/navitas-capital-1,5,Jul '14,Palo Alto,Construction,http://www.navitascap.com,1-10,"",""
Outlier Ventures,https://angel.co/company/outlier-ventures,5,Aug '14,San Francisco,Software,http://outlier.vc/,"","",""
BestVendor,https://angel.co/company/bestvendor,5,Jul '14,New York City,B2B,http://bestvendor.com,"",Acquired,3600000
Accion Systems,https://angel.co/company/accion-systems,5,Aug '14,Boston,Manufacturing,http://www.accion-systems.com,11-50,Series A,12500000
Kanvas Labs,https://angel.co/company/kanvas-labs,5,Aug '14,New York City,Photo Sharing,http://www.getkanvas.com,"",Acquired,1436500
Actioner,https://angel.co/company/actioner,5,Aug '14,Brooklyn,Creative,http://actioner.net,"","",""
Yumbin,https://angel.co/company/yumbin,5,Sep '14,San Francisco,Mobile Commerce,https://www.yumbin.com/,1-10,"",""
Carbon Investments,https://angel.co/company/carbon-investments,5,Jul '14,"","","","","",""
Pingpad,https://angel.co/company/pingpad,5,Aug '14,Palo Alto,Social,https://pingpad.net,1-10,"",1000000
Late Stage Pre-IPO Syndicate,https://angel.co/company/late-stage-pre-ipo-syndicate,5,Jul '14,San Francisco,SaaS,https://angel.co/late-stage-Pre-IPO-syndicate,"","",""
Noteleaf,https://angel.co/company/noteleaf,5,Aug '14,Palo Alto,Meeting Software,http://noteleaf.com,"","",""
Kash,https://angel.co/company/kash,5,Dec '14,San Francisco,Mobile Payments,http://www.withkash.com,1-10,Acquired,2000000
Vatler,https://angel.co/company/vatler,5,Aug '14,San Francisco,Parking,http://www.vatler.com,1-10,Seed,""
GreatHorn,https://angel.co/company/greathorn,5,Mar '15,Boston,Internet Infrastructure,http://www.greathorn.com,1-10,Series A,8550000
VizeraLabs,https://angel.co/company/vizeralabs,5,Sep '14,Silicon Valley,Retail Technology,http://www.vizeralabs.com/,1-10,"",""
Shift Payments,https://angel.co/company/shift-payments,5,Dec '14,San Francisco,Personal Finance,https://shiftpayments.com/,1-10,"",""
SFOX,https://angel.co/company/sfox,5,Aug '14,San Francisco,Financial Exchanges,https://www.sfox.com,11-50,"",""
IdeaMarket,https://angel.co/company/ideamarket,5,Mar '15,San Francisco,Crowdfunding,http://www.IdeaMarket.com,1-10,"",""
Stefan's Head,https://angel.co/company/stefanshead,5,Sep '14,New York City,Mobile Commerce,http://www.stefanshead.com,"","",""
Nightingale App,https://angel.co/company/nightingale-app,5,Sep '14,San Francisco,Collaboration Software,http://nightingaleapp.com,1-10,"",""
Huckle,https://angel.co/company/huckle,5,Sep '14,San Francisco,Messaging,http://www.HuckleApp.com,1-10,Seed,850000
Bikanta,https://angel.co/company/bikanta,5,Dec '14,Berkeley,"",http://www.bikanta.com,1-10,"",""
TXN,https://angel.co/company/txn,5,Sep '14,San Francisco,B2B,http://txn.com,1-10,Acquired,""
PeerStreet,https://angel.co/company/peerstreet,5,Sep '14,El Segundo,Fin Tech,http://www.peerstreet.com,51-200,Series B,45000000
Supply Chain Connect,https://angel.co/company/supply-chain-connect,5,Mar '17,Newport News,E-Commerce,http://www.supplychainconnect.com,"","",""
